0.8369565217391305 0.671317113342619 0.8866666666666667 0.8521739130434782
Epoch 1, time 0.01 min, ACC 0.71, loss 0.72
Epoch 2, time 0.00 min, ACC 0.72, loss 0.60
Epoch 3, time 0.00 min, ACC 0.74, loss 0.54
Epoch 4, time 0.00 min, ACC 0.74, loss 0.52
Epoch 5, time 0.00 min, ACC 0.73, loss 0.52
Epoch 6, time 0.00 min, ACC 0.74, loss 0.51
Epoch 7, time 0.00 min, ACC 0.76, loss 0.51
Epoch 8, time 0.00 min, ACC 0.74, loss 0.50
Epoch 9, time 0.00 min, ACC 0.76, loss 0.50
Epoch 10, time 0.00 min, ACC 0.75, loss 0.50
Epoch 11, time 0.00 min, ACC 0.76, loss 0.50
Epoch 12, time 0.00 min, ACC 0.76, loss 0.50
Epoch 13, time 0.00 min, ACC 0.75, loss 0.50
Epoch 14, time 0.00 min, ACC 0.75, loss 0.49
Epoch 15, time 0.00 min, ACC 0.75, loss 0.49
Epoch 16, time 0.00 min, ACC 0.74, loss 0.49
Finished, time 0.03 min

1 z 31500, 0.0017693400382995605
2 z 31500, 0.0017148812611897787
3 z 31500, 0.0017141461372375487
4 z 31500, 0.001734169324239095
5 z 31500, 0.0017423828442891438
6 z 31500, 0.0017615079879760743
7 z 31500, 0.0017566641171773275
8 z 31500, 0.0017646074295043946
9 z 31500, 0.0017893354098002115
10 z 31500, 0.0017613649368286132
11 z 31500, 0.001775221029917399
12 z 31500, 0.0017809629440307616
13 z 31500, 0.0017514626185099285
14 z 31500, 0.0017500718434651692
15 z 31500, 0.0017460227012634278
16 z 31500, 0.001731554667154948
17 z 31500, 0.0017309109369913736
18 z 31500, 0.0017508069674173992
19 z 31500, 0.0017552137374877929
20 z 31500, 0.0017302513122558593
21 z 31500, 0.0017595648765563964
22 z 31500, 0.0017932653427124023
23 z 31500, 0.0017730275789896647
24 z 31500, 0.0017564535140991212
25 z 31500, 0.001853799819946289
26 z 31500, 0.0017514745394388834
27 z 31500, 0.0017518838246663412
28 z 31500, 0.0017476201057434082
29 z 31500, 0.0017473340034484864
30 z 31500, 0.0017532507578531902
31 z 31500, 0.0017516215642293294
32 z 31500, 0.0017288088798522948
33 z 31500, 0.0017479221026102702
34 z 31500, 0.0017563859621683756
35 z 31500, 0.0017459710439046224
36 z 31500, 0.0017255345980326335
37 z 31500, 0.001743153731028239
38 z 31500, 0.0017551382382710774
39 z 31500, 0.0017534295717875163
40 z 31500, 0.0017353018124898274
41 z 31500, 0.0017488280932108561
42 z 31500, 0.0017576853434244791
43 z 31500, 0.0017534494400024414
44 z 31500, 0.0017413616180419922
45 z 31500, 0.001756592591603597
46 z 31500, 0.001759942372639974
47 z 31500, 0.0017534534136454264
48 z 31500, 0.0017295241355895995
49 z 31500, 0.001749412218729655
50 z 31500, 0.0017872174580891927
51 z 31500, 0.0017458955446879069
52 z 31500, 0.0017276565233866374
53 z 31500, 0.0017548322677612305
54 z 31500, 0.001757033665974935
55 z 31500, 0.0017589211463928222
56 z 31500, 0.001758881409962972
57 z 31500, 0.0017628272374471028
58 z 31500, 0.00174942413965861
59 z 31500, 0.001737987995147705
60 z 31500, 0.0017518003781636555
61 z 31500, 0.0017582178115844727
62 z 31500, 0.0017500718434651692
63 z 31500, 0.0017515818277994792
64 z 31500, 0.0017615954081217449
65 z 31500, 0.001754764715830485
66 z 31500, 0.0017509977022806802
67 z 31500, 0.0017510016759236654
68 z 31500, 0.001749575138092041
69 z 31500, 0.0017568747202555339
70 z 31500, 0.0017460266749064128
71 z 31500, 0.001747441291809082
72 z 31500, 0.0017464081446329752
73 z 31500, 0.0017557183901468912
74 z 31500, 0.00174789826075236
75 z 31500, 0.001744083563486735
76 z 31500, 0.0017690698305765787
77 z 31500, 0.001766812801361084
78 z 31500, 0.0017447113990783692
79 z 31500, 0.0017568588256835938
80 z 31500, 0.0017722884813944498
81 z 31500, 0.0017602682113647462
82 z 31500, 0.0017362356185913086
83 z 31500, 0.0017528732617696126
84 z 31500, 0.0017568071683247883
85 z 31500, 0.0017417192459106446
86 z 31500, 0.001758432388305664
87 z 31500, 0.0017487923304239908
88 z 31500, 0.0017482757568359375
89 z 31500, 0.0017391721407572429
90 z 31500, 0.0017558415730794272
91 z 31500, 0.001752622922261556
92 z 31500, 0.0017509698867797852
93 z 31500, 0.0017378846804300943
94 z 31500, 0.0017457723617553711
95 z 31500, 0.0017504056294759115
96 z 31500, 0.001755662759145101
97 z 31500, 0.001778129736582438
98 z 31500, 0.0017547488212585449
99 z 31500, 0.0017570296923319498
100 z 31500, 0.0017401893933614095
101 z 31500, 0.001743797461191813
102 z 31500, 0.0017615834871927897
103 z 31500, 0.0017527421315511069
104 z 31500, 0.001747433344523112
105 z 31500, 0.0017645716667175292
106 z 31500, 0.0017633438110351562
107 z 31500, 0.0017343719800313314
108 z 31500, 0.0017390012741088866
109 z 31500, 0.0017545739809672037
110 z 31500, 0.0017555713653564452
111 z 31500, 0.0017457524935404459
112 z 31500, 0.001749579111735026
113 z 31500, 0.001779484748840332
114 z 31500, 0.0017581979433695476
115 z 31500, 0.0017637332280476888
116 z 31500, 0.001746058464050293
117 z 31500, 0.00174789826075236
118 z 31500, 0.0017576813697814941
119 z 31500, 0.0017554402351379395
120 z 31500, 0.0017459551493326823
121 z 31500, 0.0017562071482340495
122 z 31500, 0.0017581979433695476
123 z 31500, 0.0017520109812418619
124 z 31500, 0.0017398317654927571
125 z 31500, 0.0017494638760884604
126 z 31500, 0.0017632166544596353
127 z 31500, 0.0017630537350972495
128 z 31500, 0.0017655849456787109
129 z 31500, 0.0017621397972106933
130 z 31500, 0.0017462531725565592
131 z 31500, 0.0017438610394795737
132 z 31500, 0.0017587622006734213
133 z 31500, 0.001755682627360026
134 z 31500, 0.001766808827718099
135 z 31500, 0.0017573793729146322
136 z 31500, 0.0017601569493611653
137 z 31500, 0.0017334779103597006
138 z 31500, 0.001737229029337565
139 z 31500, 0.0017525911331176757
140 z 31500, 0.001768497625986735
141 z 31500, 0.0017400423685709635
142 z 31500, 0.0017501195271809897
143 z 31500, 0.0017693360646565755
144 z 31500, 0.0017712712287902832
145 z 31500, 0.0017608205477396648
146 z 31500, 0.0017663796742757162
147 z 31500, 0.0017600218454996745
148 z 31500, 0.0017732103665669759
149 z 31500, 0.0017699599266052246
150 z 31500, 0.0017656882603963215
151 z 31500, 0.0017781376838684082
152 z 31500, 0.0017720500628153482
153 z 31500, 0.00177534818649292
154 z 31500, 0.0017733295758565267
155 z 31500, 0.0017777601877848306
156 z 31500, 0.0017942349116007487
157 z 31500, 0.0017922520637512207
158 z 31500, 0.0017734328905741374
159 z 31500, 0.0017941633860270182
160 z 31500, 0.001792446772257487
161 z 31500, 0.0017768780390421549
162 z 31500, 0.0017644484837849935
163 z 31500, 0.0017637968063354491
164 z 31500, 0.0017793575922648113
165 z 31500, 0.001777056852976481
166 z 31500, 0.0017672022183736166
167 z 31500, 0.0017853856086730957
168 z 31500, 0.0017768581708272298
169 z 31500, 0.0017774661382039389
170 z 31500, 0.0017743865648905436
171 z 31500, 0.0017796913782755534
172 z 31500, 0.0017693758010864258
173 z 31500, 0.001759962240854899
174 z 31500, 0.001771998405456543
175 z 31500, 0.0017811417579650878
176 z 31500, 0.001766820748647054
177 z 31500, 0.0017560164133707682
178 z 31500, 0.001778090000152588
179 z 31500, 0.0017849127451578775
180 z 31500, 0.0017625649770100912
181 z 31500, 0.0017661650975545247
182 z 31500, 0.0017729600270589192
183 z 31500, 0.0017783721288045248
184 z 31500, 0.0017626166343688964
185 z 31500, 0.0017872969309488931
186 z 31500, 0.0017726739247639974
187 z 31500, 0.0017536004384358724
188 z 31500, 0.0017739693323771159
189 z 31500, 0.0017733812332153321
190 z 31500, 0.0017713069915771484
191 z 31500, 0.0017816424369812012
192 z 31500, 0.001776150862375895
193 z 31500, 0.0017782092094421388
194 z 31500, 0.0017730474472045898
195 z 31500, 0.0017699440320332845
196 z 31500, 0.0017774224281311036
197 z 31500, 0.0017849087715148925
198 z 31500, 0.001768668492635091
199 z 31500, 0.0017668803532918294
200 z 31500, 0.0017807761828104655
201 z 31500, 0.001787130037943522
202 z 31500, 0.001755070686340332
203 z 31500, 0.0017679889996846518
204 z 31500, 0.0017800211906433105
205 z 31500, 0.0017784992853800456
206 z 31500, 0.0017642935117085775
207 z 31500, 0.0017651915550231934
208 z 31500, 0.0017787694931030273
209 z 31500, 0.0017788251241048177
210 z 31500, 0.001751712958017985
211 z 31500, 0.001756147543589274
212 z 31500, 0.0017740527788798015
213 z 31500, 0.001777791976928711
214 z 31500, 0.0017616391181945802
215 z 31500, 0.0017696698506673178
216 z 31500, 0.0017824848492940268
217 z 31500, 0.0017772475878397624
218 z 31500, 0.0017554759979248047
219 z 31500, 0.0017996509869893393
220 z 31500, 0.001774442195892334
221 z 31500, 0.001772006352742513
222 z 31500, 0.0017477075258890788
223 z 31500, 0.0017725070317586263
224 z 31500, 0.0017845829327901204
225 z 31500, 0.0017696460088094076
226 z 31500, 0.0017543236414591472
227 z 31500, 0.0017734050750732421
228 z 31500, 0.0017833352088928224
229 z 31500, 0.0018049716949462891
230 z 31500, 0.0018047372500101726
231 z 31500, 0.0017848054567972818
232 z 31500, 0.0017855286598205567
233 z 31500, 0.0017700274785359702
234 z 31500, 0.0017807364463806152
235 z 31500, 0.0017842769622802735
236 z 31500, 0.0017749826113382975
237 z 31500, 0.0017719864845275879
238 z 31500, 0.0017815311749776205
239 z 31500, 0.001785592238108317
240 z 31500, 0.0017664273579915365
241 z 31500, 0.0017809549967447917
242 z 31500, 0.001778388023376465
243 z 31500, 0.0017783999443054198
244 z 31500, 0.0017527222633361816
245 z 31500, 0.0017731070518493652
246 z 31500, 0.001773222287495931
247 z 31500, 0.001776262124379476
248 z 31500, 0.0017627755800882976
249 z 31500, 0.001772463321685791
250 z 31500, 0.0017780661582946777
251 z 31500, 0.0017739137013753254
252 z 31500, 0.001753981908162435
253 z 31500, 0.0017774224281311036
254 z 31500, 0.0017798145612080891
255 z 31500, 0.0017631252606709797
256 z 31500, 0.001782373587290446
257 z 31500, 0.001780851682027181
258 z 31500, 0.0017991304397583009
259 z 31500, 0.001764369010925293
260 z 31500, 0.0017685135205586751
261 z 31500, 0.0017772356669108072
262 z 31500, 0.0017757018407185872
263 z 31500, 0.0017638842264811197
264 z 31500, 0.0017798225084940593
265 z 31500, 0.0017850041389465333
266 z 31500, 0.001784372329711914
267 z 31500, 0.0017787615458170574
268 z 31500, 0.0017791350682576498
269 z 31500, 0.001773818333943685
270 z 31500, 0.0017775376637776694
271 z 31500, 0.0017772197723388671
272 z 31500, 0.0017752846082051594
273 z 31500, 0.0017848571141560873
274 z 31500, 0.0017778078715006511
275 z 31500, 0.001770166556040446
276 z 31500, 0.001832735538482666
277 z 31500, 0.0017757296562194824
278 z 31500, 0.0017808953921000163
279 z 31500, 0.0017766952514648438
280 z 31500, 0.0017624338467915853
281 z 31500, 0.0017749230066935221
282 z 31500, 0.0017771402994791667
283 z 31500, 0.0017850160598754882
284 z 31500, 0.0017838358879089355
285 z 31500, 0.0017762144406636557
286 z 31500, 0.0017820636431376139
287 z 31500, 0.0017795443534851074
288 z 31500, 0.0017756064732869466
289 z 31500, 0.001779945691426595
290 z 31500, 0.0017850438753763834
291 z 31500, 0.0017828226089477539
292 z 31500, 0.001843742529551188
293 z 31500, 0.0017866412798563638
294 z 31500, 0.0017882664998372397
295 z 31500, 0.0017694433530171712
296 z 31500, 0.0017859935760498047
297 z 31500, 0.0017853736877441405
298 z 31500, 0.0017766475677490235
299 z 31500, 0.0017737150192260742
300 z 31500, 0.0017827153205871582
301 z 31500, 0.0017836888631184895
302 z 31500, 0.001772920290629069
303 z 31500, 0.0017824014027913412
304 z 31500, 0.001774144172668457
305 z 31500, 0.00178908904393514
306 z 31500, 0.0017927130063374837
307 z 31500, 0.0017837842305501303
308 z 31500, 0.0017781972885131836
309 z 31500, 0.0017814159393310547
310 z 31500, 0.0017693082491556803
311 z 31500, 0.0017695426940917969
312 z 31500, 0.0017774542172749837
313 z 31500, 0.0017830928166707356
314 z 31500, 0.001757518450419108
315 z 31500, 0.0017669757207234701
316 z 31500, 0.0017784436543782551
317 z 31500, 0.0017799019813537597
318 z 31500, 0.001749257246653239
319 z 31500, 0.00178221861521403
320 z 31500, 0.0017754236857096355
321 z 31500, 0.0017828226089477539
322 z 31500, 0.0017554084459940591
323 z 31500, 0.0017699400583902996
324 z 31500, 0.0017835656801859538
325 z 31500, 0.0017937024434407551
326 z 31500, 0.0017545104026794433
327 z 31500, 0.0017789085706075034
328 z 31500, 0.001777346928914388
329 z 31500, 0.0017783323923746745
330 z 31500, 0.001765592892964681
331 z 31500, 0.0017750144004821777
332 z 31500, 0.0017820994059244792
333 z 31500, 0.0017806410789489747
334 z 31500, 0.0017575105031331381
335 z 31500, 0.0017809907595316568
336 z 31500, 0.0018759886423746744
337 z 31500, 0.0017762303352355957
338 z 31500, 0.001765573024749756
339 z 31500, 0.0017798900604248046
340 z 31500, 0.0017845273017883302
341 z 31500, 0.001762723922729492
342 z 31500, 0.0017745296160380046
343 z 31500, 0.0017897526423136393
344 z 31500, 0.0017786780993143717
345 z 31500, 0.001779937744140625
346 z 31500, 0.0017857551574707031
347 z 31500, 0.0017841180165608724
348 z 31500, 0.0017848849296569825
349 z 31500, 0.0017834107081095378
350 z 31500, 0.0017795284589131673
351 z 31500, 0.0017792264620463054
352 z 31500, 0.0017646193504333497
353 z 31500, 0.0017780065536499023
354 z 31500, 0.001801466941833496
355 z 31500, 0.0017728328704833985
356 z 31500, 0.0017792542775472006
357 z 31500, 0.0017841974894205728
358 z 31500, 0.0017776846885681151
359 z 31500, 0.0017995874087015787
360 z 31500, 0.0017667690912882487
361 z 31500, 0.0017787496248881022
362 z 31500, 0.0017896135648091634
363 z 31500, 0.0017919500668843588
364 z 31500, 0.0017642617225646974
365 z 31500, 0.0017711440722147623
366 z 31500, 0.0017746408780415853
367 z 31500, 0.0017842888832092286
368 z 31500, 0.001772145430246989
369 z 31500, 0.0017816623051961262
370 z 31500, 0.0017917593320210775
371 z 31500, 0.0017893433570861817
372 z 31500, 0.0017621994018554687
373 z 31500, 0.0017739256223042806
374 z 31500, 0.0017844001452128092
375 z 31500, 0.0017778555552164714
376 z 31500, 0.0017869313557942708
377 z 31500, 0.0017721136411031088
378 z 31500, 0.0018041491508483886
379 z 31500, 0.0017974098523457845
380 z 31500, 0.0018016854921976725
381 z 31500, 0.0017744819323221841
382 z 31500, 0.0017836610476175943
383 z 31500, 0.0017740329106648762
384 z 31500, 0.0017651716868082683
385 z 31500, 0.0017739256223042806
386 z 31500, 0.0017955859502156576
387 z 31500, 0.0017821629842122396
388 z 31500, 0.001777370770772298
389 z 31500, 0.0017713030179341634
390 z 31500, 0.0017951329549153645
391 z 31500, 0.0017748077710469563
392 z 31500, 0.001761476198832194
393 z 31500, 0.0017725666364034017
394 z 31500, 0.0017913420995076498
395 z 31500, 0.0017804662386576334
396 z 31500, 0.0017696539560953775
397 z 31500, 0.0017889857292175293
398 z 31500, 0.0017858624458312988
399 z 31500, 0.0017740686734517416
400 z 31500, 0.0017607291539510092
401 z 31500, 0.0017824808756510416
402 z 31500, 0.001795049508412679
403 z 31500, 0.0017751971880594888
404 z 31500, 0.0017642696698506673
405 z 31500, 0.0017911752065022787
406 z 31500, 0.0017841180165608724
407 z 31500, 0.0017755587895711264
408 z 31500, 0.0017867724100748697
409 z 31500, 0.0017757256825764974
410 z 31500, 0.0017899751663208007
411 z 31500, 0.0017719149589538574
412 z 31500, 0.0017891327540079753
413 z 31500, 0.0017837007840474446
414 z 31500, 0.0017784833908081055
415 z 31500, 0.001764384905497233
416 z 31500, 0.0017863631248474122
417 z 31500, 0.001786506175994873
418 z 31500, 0.0017850319544474283
419 z 31500, 0.0017861525217692058
420 z 31500, 0.0017957528432210287
421 z 31500, 0.0017911632855733236
422 z 31500, 0.001773707071940104
423 z 31500, 0.0017744859059651693
424 z 31500, 0.001785727341969808
425 z 31500, 0.001778709888458252
426 z 31500, 0.001760280132293701
427 z 31500, 0.001781185468037923
428 z 31500, 0.001783923308054606
429 z 31500, 0.0017803231875101724
430 z 31500, 0.0017701069513956706
431 z 31500, 0.001780096689860026
432 z 31500, 0.001783426602681478
433 z 31500, 0.0017737706502278646
434 z 31500, 0.0017727255821228028
435 z 31500, 0.0017887314160664877
436 z 31500, 0.0017826000849405924
437 z 31500, 0.001764849821726481
438 z 31500, 0.001772459348042806
439 z 31500, 0.001772006352742513
440 z 31500, 0.001776909828186035
441 z 31500, 0.0017807126045227052
442 z 31500, 0.0017850399017333984
443 z 31500, 0.0017879406611124675
444 z 31500, 0.0017783443133036296
445 z 31500, 0.00176770289738973
446 z 31500, 0.0017876664797465006
447 z 31500, 0.0018250107765197753
448 z 31500, 0.0018027305603027343
449 z 31500, 0.0017880797386169434
450 z 31500, 0.001779929796854655
451 z 31500, 0.0017876903216044108
452 z 31500, 0.0017909566561381022
453 z 31500, 0.0017841100692749024
454 z 31500, 0.0017655849456787109
455 z 31500, 0.0017867883046468098
456 z 31500, 0.0017832001050313315
457 z 31500, 0.0017974575360616047
458 z 31500, 0.001789708932240804
459 z 31500, 0.0018133838971455892
460 z 31500, 0.0017878413200378418
461 z 31500, 0.001783609390258789
462 z 31500, 0.0017740805943806967
463 z 31500, 0.0017727057139078775
464 z 31500, 0.0017791748046875
465 z 31500, 0.001791838804880778
466 z 31500, 0.0017661253611246746
467 z 31500, 0.0017783641815185547
468 z 31500, 0.0017874360084533692
469 z 31500, 0.0017732977867126465
470 z 31500, 0.0017670551935831706
471 z 31500, 0.0017753839492797852
472 z 31500, 0.0017880837122599283
473 z 31500, 0.0017790118853251138
474 z 31500, 0.001765743891398112
475 z 31500, 0.0017792026201883951
476 z 31500, 0.001788040002187093
477 z 31500, 0.001764814058939616
478 z 31500, 0.0017571369806925455
479 z 31500, 0.0017706553141276042
480 z 31500, 0.0017766276995340982
481 z 31500, 0.0017842491467793783
482 z 31500, 0.0017853776613871257
483 z 31500, 0.0017846584320068359
484 z 31500, 0.0017867525418599447
485 z 31500, 0.0017693360646565755
486 z 31500, 0.0017810265223185222
487 z 31500, 0.0017818371454874674
488 z 31500, 0.0017826040585835776
489 z 31500, 0.0017872055371602376
490 z 31500, 0.0017904003461201986
491 z 31500, 0.0017699162165323893
492 z 31500, 0.001775225003560384
493 z 31500, 0.0017685532569885255
494 z 31500, 0.0017949302991231283
495 z 31500, 0.0017724752426147461
496 z 31500, 0.0017864465713500976
497 z 31500, 0.0017896811167399088
498 z 31500, 0.001791516939798991
499 z 31500, 0.0017649014790852866
500 z 31500, 0.0017804543177286783
501 z 31500, 0.0017768422762552897
502 z 31500, 0.0018896778424580892
503 z 31500, 0.001770476500193278
504 z 31500, 0.0017797470092773438
505 z 31500, 0.0017966469128926595
506 z 31500, 0.0017833987871805827
507 z 31500, 0.0017843008041381835
508 z 31500, 0.0017883857091267905
509 z 31500, 0.0017874677975972494
510 z 31500, 0.0017760833104451498
511 z 31500, 0.0017839352289835612
512 z 31500, 0.0017832477887471518
513 z 31500, 0.0018033742904663085
514 z 31500, 0.0017776807149251302
515 z 31500, 0.0018030762672424316
516 z 31500, 0.0017729957898457846
517 z 31500, 0.0017789165178934733
518 z 31500, 0.0017751415570576986
519 z 31500, 0.0017842372258504231
520 z 31500, 0.0017788092295328776
521 z 31500, 0.001798562208811442
522 z 31500, 0.0017856359481811523
523 z 31500, 0.0017885724703470866
524 z 31500, 0.0017722606658935546
525 z 31500, 0.001775983969370524
526 z 31500, 0.0017892042795817056
527 z 31500, 0.0017869114875793458
528 z 31500, 0.0017750819524129232
529 z 31500, 0.0017947673797607422
530 z 31500, 0.0017896612485249837
531 z 31500, 0.001779464880625407
532 z 31500, 0.0017788410186767578
533 z 31500, 0.0017851630846659342
534 z 31500, 0.0017923076947530111
535 z 31500, 0.0017763336499532064
536 z 31500, 0.0017914295196533204
537 z 31500, 0.0017861088116963705
538 z 31500, 0.001777791976928711
539 z 31500, 0.0017851670583089194
540 z 31500, 0.001794882615407308
541 z 31500, 0.001778888702392578
542 z 31500, 0.0017661571502685547
543 z 31500, 0.001796559492746989
544 z 31500, 0.0017975250879923503
545 z 31500, 0.0017921606699625651
546 z 31500, 0.0017832597096761069
547 z 31500, 0.0018005728721618651
548 z 31500, 0.0017855167388916016
549 z 31500, 0.0017835338910420736
550 z 31500, 0.0017913262049357097
551 z 31500, 0.0017645517985026042
552 z 31500, 0.0017911275227864584
553 z 31500, 0.0017857114473978678
554 z 31500, 0.0017829179763793946
555 z 31500, 0.001780982812245687
556 z 31500, 0.0017946163813273113
557 z 31500, 0.0017876386642456054
558 z 31500, 0.0017750144004821777
559 z 31500, 0.0017765839894612631
560 z 31500, 0.0017974376678466797
561 z 31500, 0.001773540178934733
562 z 31500, 0.0017705043156941733
563 z 31500, 0.0017835219701131185
564 z 31500, 0.0017901738484700522
565 z 31500, 0.0017815828323364258
566 z 31500, 0.0017806053161621093
567 z 31500, 0.0017858584721883138
568 z 31500, 0.001793241500854492
569 z 31500, 0.0017665942509969075
570 z 31500, 0.0017731746037801107
571 z 31500, 0.0017837087313334148
572 z 31500, 0.0017847339312235513
573 z 31500, 0.00176773468653361
574 z 31500, 0.0017659227053324381
575 z 31500, 0.0017785231272379558
576 z 31500, 0.0017923235893249512
577 z 31500, 0.001784523328145345
578 z 31500, 0.0017708738644917805
579 z 31500, 0.0017896294593811035
580 z 31500, 0.0017850796381632488
581 z 31500, 0.0017969965934753417
582 z 31500, 0.0017808198928833008
583 z 31500, 0.0017778873443603516
584 z 31500, 0.001791071891784668
585 z 31500, 0.0017918705940246581
586 z 31500, 0.0017674605051676432
587 z 31500, 0.0017711281776428222
588 z 31500, 0.001779774824778239
589 z 31500, 0.0017830133438110352
590 z 31500, 0.0017653743426005045
591 z 31500, 0.0017777721087137857
592 z 31500, 0.0017928957939147949
593 z 31500, 0.001781741778055827
594 z 31500, 0.0017785350481669107
595 z 31500, 0.0017668922742207845
596 z 31500, 0.0017870306968688966
597 z 31500, 0.0017875989278157553
598 z 31500, 0.0017848650614420572
599 z 31500, 0.0017871538798014323
600 z 31500, 0.0017950256665547689
601 z 31500, 0.0017751773198445638
602 z 31500, 0.0017929553985595703
603 z 31500, 0.0017934401830037435
604 z 31500, 0.0017909924189249673
605 z 31500, 0.0017903645833333333
606 z 31500, 0.0017843802769978842
607 z 31500, 0.0017870744069417319
608 z 31500, 0.0017959078152974446
609 z 31500, 0.001759350299835205
610 z 31500, 0.0017712791760762534
611 z 31500, 0.001783005396525065
612 z 31500, 0.0017785906791687011
613 z 31500, 0.0017622152964274088
614 z 31500, 0.0017766396204630533
615 z 31500, 0.0017869949340820312
616 z 31500, 0.0017895261446634928
617 z 31500, 0.001761329174041748
618 z 31500, 0.0017833391825358073
619 z 31500, 0.001786669095357259
